Sublibrary,Gene_symbol,Entrez_ID
Transcription factors,RFX2,
Transcription factors,RFX3,
Transcription factors,MTERF2,
Transcription factors,CREM,
Transcription factors,HOXA1,
Transcription factors,TP73,
Transcription factors,PLAGL1,
Transcription factors,TCF7L2,
Transcription factors,ZXDC,
Transcription factors,GTF2IRD2,
Transcription factors,HSFX1,
Transcription factors,ZNF639,
Transcription factors,ZSCAN16,
Transcription factors,ADNP2,
Transcription factors,HSF2,
Transcription factors,AKAP8L,
Transcription factors,PAX7,
Transcription factors,ZNF662,
Transcription factors,BARX2,
Transcription factors,MYPOP,
Transcription factors,TWIST2,
Transcription factors,ZNF292,
Transcription factors,NKX2-3,
Transcription factors,ZNF18,
Transcription factors,HOXD8,
Transcription factors,MEF2D,
Transcription factors,ATMIN,
Transcription factors,MECP2,
Transcription factors,NR4A3,
Transcription factors,ZNF318,
Transcription factors,ESX1,
Transcription factors,ALX1,
Transcription factors,HMGA2,
Transcription factors,TERF2,
Transcription factors,DACH1,
Transcription factors,POU2F1,
Transcription factors,ZNF785,
Transcription factors,ETV5,
Transcription factors,DOT1L,
Transcription factors,RAX2,
Transcription factors,DMRTC2,
Transcription factors,THAP3,
Transcription factors,PA2G4,
Transcription factors,ZNF582,
Transcription factors,ZNF469,
Transcription factors,ZNF556,
Transcription factors,LBX2,
Transcription factors,ZNF672,
Transcription factors,MAF,
Transcription factors,EN2,
Transcription factors,GATA3,
Transcription factors,KCMF1,
Transcription factors,SOX9,
Transcription factors,ZNF836,
Transcription factors,ZNF550,
Transcription factors,FEZF2,
Transcription factors,MECOM,
Transcription factors,HMBOX1,
Transcription factors,MBD1,
Transcription factors,BATF3,
Transcription factors,RORB,
Transcription factors,ZNF784,
Transcription factors,ZNF283,
Transcription factors,HEY2,
Transcription factors,ESR2,
Transcription factors,NCOA2,
Transcription factors,CEBPE,
Transcription factors,SRCAP,
Transcription factors,FIGLA,
Transcription factors,KLF14,
Transcription factors,ISL2,
Transcription factors,RFX4,
Transcription factors,CENPB,
Transcription factors,STAT4,
Transcription factors,TFCP2,
Transcription factors,ZNF397,
Transcription factors,NEUROD2,
Transcription factors,NFYB,
Transcription factors,GLYR1,
Transcription factors,NKX2-5,
Transcription factors,ETV3,
Transcription factors,NR0B1,
Transcription factors,ZBED5,
Transcription factors,TFDP1,
Transcription factors,SMAD4,
Transcription factors,HES4,
Transcription factors,ZSCAN25,
Transcription factors,ATF6B,
Transcription factors,ZNF691,
Transcription factors,YBX1,
Transcription factors,GATA5,
Transcription factors,MSX2,
Transcription factors,ZSCAN1,
Transcription factors,VAX1,
Transcription factors,ZMAT1,
Transcription factors,ZNF20,
Transcription factors,NEUROD1,
Transcription factors,CASZ1,
Transcription factors,GTF2I,
Transcription factors,HOXA13,
Transcription factors,ZNF512B,
Transcription factors,ZNF384,
Transcription factors,JUND,
Transcription factors,ZNF618,
Transcription factors,ZNF706,
Transcription factors,SCRT1,
Transcription factors,ERF,
Transcription factors,HMGA1,
Transcription factors,JDP2,
Transcription factors,CREBL2,
Transcription factors,HOXA9,
Transcription factors,MYF5,
Transcription factors,MLXIP,
Transcription factors,ZNF644,
Transcription factors,NEUROG1,
Transcription factors,MTF2,
Transcription factors,ZNF846,
Transcription factors,BHLHE40,
Transcription factors,ZNF182,
Transcription factors,NKX3-2,
Transcription factors,ZNF597,
Transcription factors,MYT1,
Transcription factors,ZNF766,
Transcription factors,ZNF805,
Transcription factors,HOXC9,
Transcription factors,ZNF391,
Transcription factors,RELB,
Transcription factors,WT1,
Transcription factors,NR2F2,
Transcription factors,KLF9,
Transcription factors,ELF5,
Transcription factors,OTX1,
Transcription factors,DLX1,
Transcription factors,ZNF710,
Transcription factors,FAM200B,
Transcription factors,HOXD11,
Transcription factors,TRERF1,
Transcription factors,HMX3,
Transcription factors,NR3C2,
Transcription factors,L3MBTL4,
Transcription factors,SIX2,
Transcription factors,ZBTB37,
Transcription factors,RAG1,
Transcription factors,FOXE3,
Transcription factors,ZNF598,
Transcription factors,ZNF320,
Transcription factors,PEG3,
Transcription factors,ZNF394,
Transcription factors,ELF4,
Transcription factors,ZNF148,
Transcription factors,DBP,
Transcription factors,MEOX2,
Transcription factors,SIX5,
Transcription factors,ZNF727,
Transcription factors,ZNF843,
Transcription factors,KLF7,
Transcription factors,TIGD3,
Transcription factors,BRF2,
Transcription factors,AHDC1,
Transcription factors,ZNF783,
Transcription factors,ZNF557,
Transcription factors,IRF2,
Transcription factors,SP110,
Transcription factors,CENPS,
Transcription factors,ZKSCAN5,
Transcription factors,ZNF184,
Transcription factors,ZBTB7B,
Transcription factors,SETDB1,
Transcription factors,DDIT3,
Transcription factors,OLIG3,
Transcription factors,GMEB1,
Transcription factors,ATF1,
Transcription factors,ZNF157,
Transcription factors,SPIC,
Transcription factors,GLIS3,
Transcription factors,GABPA,
Transcription factors,DZIP1,
Transcription factors,MLX,
Transcription factors,ZNF554,
Transcription factors,OVOL1,
Transcription factors,RBSN,
Transcription factors,POU4F3,
Transcription factors,ZBTB8A,
Transcription factors,TERB1,
Transcription factors,FOXN2,
Transcription factors,ZNF425,
Transcription factors,FOXI2,
Transcription factors,DEAF1,
Transcription factors,DLX2,
Transcription factors,ZFP1,
Transcription factors,TCF7,
Transcription factors,ZNF623,
Transcription factors,MAFF,
Transcription factors,IRF3,
Transcription factors,LIN28B,
Transcription factors,ZNF236,
Transcription factors,FIZ1,
Transcription factors,HSFX2,
Transcription factors,NPAS1,
Transcription factors,TFAP2B,
Transcription factors,REXO4,
Transcription factors,ZNF841,
Transcription factors,ZNF483,
Transcription factors,ZNF446,
Transcription factors,MKX,
Transcription factors,ZSCAN26,
Transcription factors,ZNF74,
Transcription factors,HEY1,
Transcription factors,ZNF571,
Transcription factors,CREB3L2,
Transcription factors,TIGD5,
Transcription factors,JRKL,
Transcription factors,EBF4,
Transcription factors,BACH2,
Transcription factors,ZNF521,
Transcription factors,ZNF311,
Transcription factors,ETV2,
Transcription factors,HINFP,
Transcription factors,POU5F1B,
Transcription factors,THAP6,
Transcription factors,MAFG,
Transcription factors,ZNF746,
Transcription factors,SP6,
Transcription factors,FOXI3,
Transcription factors,NR2C2,
Transcription factors,TIGD1,
Transcription factors,OVOL3,
Transcription factors,PRDM16,
Transcription factors,RHOXF2,
Transcription factors,ZNF565,
Transcription factors,ZNF160,
Transcription factors,PKNOX1,
Transcription factors,FOXL2,
Transcription factors,NANOGNB,
Transcription factors,HNF1A,
Transcription factors,ZNF43,
Transcription factors,ZBED3,
Transcription factors,SP1,
Transcription factors,STAT5A,
Transcription factors,SIX3,
Transcription factors,KDM5B,
Transcription factors,SETBP1,
Transcription factors,ZFP82,
Transcription factors,TFAP2E,
Transcription factors,ZNF518A,
Transcription factors,ZNF70,
Transcription factors,ZNF503,
Transcription factors,POU2AF1,
Transcription factors,CHAMP1,
Transcription factors,ZNF300,
Transcription factors,PAX1,
Transcription factors,ZNF502,
Transcription factors,SPZ1,
Transcription factors,ZNF136,
Transcription factors,EGR2,
Transcription factors,ZNF778,
Transcription factors,ZBTB10,
Transcription factors,HOXB2,
Transcription factors,ZNF10,
Transcription factors,ESRRA,
Transcription factors,ZNF444,
Transcription factors,TEAD2,
Transcription factors,HES2,
Transcription factors,ZBTB25,
Transcription factors,ZNF726,
Transcription factors,ZNF682,
Transcription factors,ISX,
Transcription factors,TRAFD1,
Transcription factors,MYOG,
Transcription factors,ZNF789,
Transcription factors,SOX11,
Transcription factors,ZNF428,
Transcription factors,LEUTX,
Transcription factors,SMAD9,
Transcription factors,ZNF665,
Transcription factors,CXXC5,
Transcription factors,SPI1,
Transcription factors,NFKB2,
Transcription factors,ZNF572,
Transcription factors,TFCP2L1,
Transcription factors,PKNOX2,
Transcription factors,LHX2,
Transcription factors,LYL1,
Transcription factors,ZNF711,
Transcription factors,ZFP62,
Transcription factors,PRDM13,
Transcription factors,ZNF219,
Transcription factors,ZNF280B,
Transcription factors,FOXH1,
Transcription factors,ZNF655,
Transcription factors,IKZF1,
Transcription factors,MAX,
Transcription factors,ZBTB22,
Transcription factors,ZBTB2,
Transcription factors,ZNF529,
Transcription factors,ZNF790,
Transcription factors,TSC22D1,
Transcription factors,TBX6,
Transcription factors,TIGD7,
Transcription factors,ZBTB18,
Transcription factors,ZBTB12,
Transcription factors,ELF1,
Transcription factors,ZNF547,
Transcription factors,KIN,
Transcription factors,AEBP1,
Transcription factors,ZNF26,
Transcription factors,SOX13,
Transcription factors,NFATC1,
Transcription factors,ZNF354C,
Transcription factors,PLAG1,
Transcription factors,ZNF440,
Transcription factors,CEBPG,
Transcription factors,GPBP1,
Transcription factors,NFIB,
Transcription factors,ZNF69,
Transcription factors,ZNF821,
Transcription factors,RFX8,
Transcription factors,ZNF555,
Transcription factors,XPA,
Transcription factors,HOXB9,
Transcription factors,ZNF837,
Transcription factors,PHOX2B,
Transcription factors,CARF,
Transcription factors,ZNF577,
