Plate_number_384,Well_number_384,Plasmid_ID,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Raw_rep1,Raw_rep2,CellTiterGlo_foldNT,DeltaNT_rep1,FoldNT_rep1,PercActivation_rep1,Raw_log2_rep1,Log2FC_rep1,Raw_Glo_rep1,DeltaNT_Glo_rep1,FoldNT_Glo_rep1,Log2FC_Glo_rep1,DeltaNT_rep2,FoldNT_rep2,PercActivation_rep2,Raw_log2_rep2,Log2FC_rep2,Raw_Glo_rep2,DeltaNT_Glo_rep2,FoldNT_Glo_rep2,Log2FC_Glo_rep2,SSMD_raw,SSMD_mod_raw,Mean_raw,p_value_raw,p_value_repro_raw,SSMD_log2,SSMD_mod_log2,Mean_log2,p_value_log2,p_value_repro_log2,SSMD_log2_glo,SSMD_mod_log2_glo,Mean_log2_glo,p_value_log2_glo,p_value_repro_log2_glo
LXXVII,85,PosCtrl,,,,,False,True,11632.408371833631,11032.360948136507,,8484.62362845667,3.6954268859421164,119.04995471577851,13.50586220261952,1.885741268086763,,,,,7874.167211699162,3.493250214783135,123.72744770937697,13.429453943251463,1.804579173978098,,,,,0.2122031688580402,37.12088760115236,11332.38465998507,0.017145760244622974,0.1427328108122507,0.01789428068379608,32.03298794390609,1.8451602210324305,0.019867428162724105,0.8945007684370607,,,,,
LXXVII,101,PosCtrl,,,,,False,True,10169.653056118445,8718.5749972618,,7021.868312741482,3.230733320477429,98.52565549853284,13.311982841168136,1.6918619066353795,,,,,5560.381260824454,2.760620698050316,87.37073562150076,13.089876638427743,1.4650018691543778,,,,,0.5131650436102517,12.977502621235129,9444.114026690122,0.0489588978173141,0.0006085656769241668,0.050017156792263616,13.091235158639858,1.5784318878948786,0.048535211706331474,0.6825184598333544,,,,,
LXXVII,123,BTNL10_N2,BTNL10,100129094.0,N2,Other,False,False,7005.771207951274,6776.459555663237,,3857.986464574312,2.225619532177871,54.132408697685804,12.774328158536603,1.1542072240038461,,,,,3618.2658192258914,2.145675699840865,56.85411331902529,12.726316001155507,1.1014412318821414,,,,,0.08109468910270035,53.926465291653734,6891.115381807255,0.011803978105996307,0.5412348146238112,0.01163362631231017,23.180476391369815,1.1278242279429938,0.027446601072909676,0.9372407312280011,,,,,
LXXVII,133,PosCtrl,,,,,False,True,9760.447135062044,9129.017205073693,,6612.662391685082,3.1007352569448505,92.78398108791976,13.252731525151125,1.632610590618368,,,,,5970.823468636348,2.890581758727645,93.82004834746316,13.156243838224809,1.5313690689514434,,,,,0.22330140379532948,29.448779818602087,9444.73217006787,0.021609562464504305,0.12403805924437813,0.022321309294176563,24.313525835138915,1.5819898297849058,0.02616902075830006,0.8644549890618117,,,,,
LXXVII,149,PosCtrl,,,,,False,True,10978.527618036283,10434.15742348438,,7830.742874659321,3.487699608791691,109.87518426774001,13.422396960250113,1.8022760257173562,,,,,7275.963687047034,3.3038370328904554,114.3278257143051,13.349026484595402,1.7241517153220371,,,,,0.19251325104278685,38.515922591740406,10706.342520760332,0.0165250301831214,0.18111683443277446,0.01722452277500563,31.184100012215623,1.7632138705196967,0.02040789016588203,0.899060654363501,,,,,
LXXVII,181,PosCtrl,,,,,False,True,10453.548823600191,8945.04998330186,,7305.764080223229,3.3209223869563465,102.50907064370776,13.351705178415504,1.7315842438827467,,,,,5786.856246864515,2.832330987202982,90.92935601136506,13.126873828477589,1.5019990592042234,,,,,0.5334715582273047,12.82370657130167,9699.299403451027,0.04954371302815704,0.00037063842403553066,0.050617985903348685,13.268225777064167,1.616791651543485,0.04789023560753819,0.6787283532139505,,,,,
LXXVII,197,PosCtrl,,,,,False,True,9717.753650286772,10419.10239150121,,6569.968906909809,3.0871722314345766,92.1849377299907,13.246407144570009,1.626286210037252,,,,,7260.908655063865,3.299070057448299,114.09126473809255,13.346943373949987,1.7220686046766218,,,,,-0.24802777161063708,28.347024108373123,10068.42802089399,0.022448772112131903,0.12485258144347613,-0.0211177036899548,26.588579069770365,1.6741774073569369,0.023932074530326117,0.8390669985436838,,,,,
LXXVII,226,PATJ,PATJ,10207.0,,Single,False,False,7181.638071082472,7363.643034724307,,4033.8533277055103,2.2814895733238636,56.60004226737705,12.810097232817599,1.1899762982848419,,,,,4205.4492982869615,2.3315995310126194,66.08057641640487,12.846203975918705,1.2213292066453398,,,,,-0.06436496268032349,67.92092969474317,7272.640552903389,0.00937227717388048,0.7358480413990067,-0.006912558733451797,27.537330056563686,1.2056527524650908,0.023108273343319996,0.935559908338557,,,,,
LXXVII,229,PosCtrl,,,,,False,True,10303.536747334265,10942.89096615974,,7155.752003957303,3.2732659909522814,100.40421229426002,13.330852015212093,1.710731080679336,,,,,7784.697229722396,3.464920736149663,122.32159840252686,13.417706308864645,1.7928315395912797,,,,,-0.22610378096715947,32.72524026057917,10623.213856747003,0.019447427387820234,0.16398605028457613,-0.018101167449817476,30.237859503598116,1.751781310135308,0.021046060958382157,0.8594064902669316,,,,,
LXXVII,251,MMS22L,MMS22L,253714.0,,Single,False,False,9642.592712986714,9154.126093569235,,6494.807969609752,3.0632948244872944,91.13033512487844,13.235205397014504,1.6150844624817466,,,,,5995.93235713189,2.898532153982328,94.21458641159737,13.160206449149726,1.5353316798763608,,,,,0.17274328732737482,37.49352732494098,9398.359403277975,0.016975433564235774,0.226879313762775,0.01758356154960504,27.583145584725173,1.5752080711790537,0.023069924187534844,0.8966158009007124,,,,,
LXXVII,277,PosCtrl,,,,,False,True,9552.815836467154,10443.861844408544,,6405.031093090192,3.0347741714444036,89.8706524857651,13.221710336608636,1.601589402075879,,,,,7285.668107971199,3.30690980857619,114.480312091615,13.350367657890688,1.7254928886173229,,,,,-0.3151130710943766,22.263964096474048,9998.33884043785,0.02857497337569448,0.04860125059042004,-0.02731772498261407,22.412501393337976,1.663541145346601,0.02838584646452476,0.7976124428994293,,,,,
LXXVII,293,PosCtrl,,,,,False,True,9807.807033761215,9042.202963687536,,6660.022290384253,3.1157807262383965,93.44850010990325,13.259714879292904,1.639593944760147,,,,,5884.009227250191,2.8630931849949612,92.45592891454383,13.142458585798206,1.5175838165248408,,,,,0.2707512828890203,24.35791971996811,9425.004998724376,0.0261213795870953,0.0646912325328425,0.0269002852241024,21.49626379680568,1.578588880642494,0.02959403275604393,0.8335833340587149,,,,,
